iter	Passed	Remaining
625	18934	11312
626	18969	11285
627	19002	11256
628	19035	11227
629	19061	11195
630	19087	11162
631	19113	11129
632	19138	11096
633	19165	11064
634	19190	11030
635	19219	10999
636	19249	10969
637	19275	10937
638	19301	10904
639	19328	10872
640	19356	10840
641	19385	10810
642	19414	10778
643	19439	10746
644	19463	10712
645	19487	10678
646	19515	10647
647	19543	10616
648	19572	10585
649	19603	10555
650	19632	10524
651	19661	10493
652	19690	10463
653	19723	10434
654	19755	10405
655	19788	10376
656	19817	10345
657	19845	10314
658	19874	10283
659	19903	10253
660	19936	10224
661	19964	10193
662	19995	10163
663	20025	10133
664	20056	10103
665	20088	10074
666	20117	10043
667	20145	10012
668	20174	9981
669	20203	9950
670	20232	9920
671	20261	9889
672	20289	9858
673	20317	9826
674	20345	9795
675	20374	9765
676	20402	9734
677	20428	9701
678	20451	9668
679	20474	9634
680	20499	9602
681	20526	9570
682	20551	9538
683	20579	9507
684	20607	9476
685	20632	9444
686	20661	9413
687	20687	9381
688	20715	9350
689	20744	9319
690	20770	9288
691	20797	9256
692	20823	9224
693	20851	9193
694	20878	9162
695	20908	9132
696	20936	9101
697	20963	9070
698	20992	9039
699	21020	9008
700	21047	8977
701	21077	8947
702	21105	8916
703	21132	8885
704	21159	8854
705	21187	8823
706	21215	8792
707	21243	8761
708	21271	8730
709	21298	8699
710	21323	8667
711	21355	8638
712	21387	8609
713	21417	8579
714	21445	8548
715	21473	8517
716	21498	8485
717	21524	8453
718	21550	8422
719	21577	8391
720	21603	8359
721	21635	8330
722	21662	8299
723	21689	8268
724	21715	8236
725	21744	8206
726	21775	8176
727	21801	8145
728	21828	8114
729	21856	8083
730	21881	8052
731	21911	8022
732	21938	7991
733	21966	7960
734	21997	7931
735	22022	7899
736	22053	7869
737	22080	7838
738	22107	7808
739	22134	7777
740	22162	7746
741	22192	7716
742	22222	7686
743	22252	7656
744	22280	7626
745	22306	7594
746	22335	7564
747	22361	7533
748	22386	7502
749	22412	7470
750	22438	7439
751	22461	7407
752	22491	7377
753	22520	7347
754	22546	7316
755	22575	7286
756	22602	7255
757	22632	7225
758	22663	7196
759	22693	7166
760	22720	7135
761	22747	7104
762	22776	7074
763	22802	7043
764	22833	7014
765	22860	6983
766	22886	6952
767	22914	6922
768	22943	6892
769	22972	6861
770	23000	6831
771	23026	6800
772	23053	6769
773	23081	6739
774	23112	6710
775	23137	6678
776	23163	6648
777	23190	6617
778	23219	6587
779	23250	6557
780	23278	6527
781	23310	6498
782	23339	6468
783	23365	6437
784	23391	6406
785	23416	6375
786	23441	6344
787	23470	6314
788	23497	6283
789	23525	6253
790	23554	6223
791	23583	6193
792	23612	6163
793	23644	6134
794	23676	6105
795	23707	6075
796	23740	6046
797	23775	6018
798	23805	5988
799	23835	5958
800	23862	5928
801	23888	5897
802	23913	5866
803	23937	5835
804	23963	5804
805	23988	5773
806	24019	5744
807	24046	5714
808	24071	5683
809	24097	5652
810	24128	5623
811	24154	5592
812	24184	5562
813	24215	5533
814	24242	5502
815	24269	5472
816	24297	5442
817	24324	5412
818	24351	5381
819	24376	5350
820	24404	5320
821	24432	5290
822	24460	5260
823	24484	5229
824	24513	5199
825	24541	5169
826	24573	5140
827	24604	5111
828	24633	5081
829	24658	5050
830	24687	5020
831	24716	4990
832	24743	4960
833	24770	4930
834	24799	4900
835	24829	4870
836	24860	4841
837	24889	4811
838	24918	4781
839	24947	4751
840	24973	4721
841	25002	4691
842	25031	4661
843	25059	4631
844	25088	4602
845	25117	4572
846	25146	4542
847	25174	4512
848	25203	4482
849	25233	4452
850	25260	4422
851	25288	4392
852	25315	4362
853	25339	4332
854	25364	4301
855	25390	4271
856	25414	4240
857	25443	4210
858	25469	4180
859	25497	4150
860	25527	4121
861	25556	4091
862	25586	4061
863	25614	4031
864	25648	4002
865	25679	3973
866	25710	3944
867	25740	3914
868	25767	3884
869	25795	3854
870	25822	3824
871	25848	3794
872	25875	3764
873	25904	3734
874	25934	3704
875	25963	3675
876	25990	3645
877	26018	3615
878	26048	3585
879	26076	3555
880	26104	3525
881	26137	3496
882	26171	3467
883	26204	3438
884	26231	3408
885	26256	3378
886	26285	3348
887	26316	3319
888	26348	3289
889	26379	3260
890	26415	3231
891	26447	3202
892	26476	3172
893	26505	3142
894	26534	3112
895	26565	3083
896	26597	3054
897	26629	3024
898	26659	2995
899	26688	2965
900	26717	2935
901	26747	2906
902	26781	2876
903	26811	2847
904	26844	2817
905	26874	2788
906	26903	2758
907	26933	2728
908	26958	2698
909	26986	2669
910	27014	2639
911	27040	2609
912	27070	2579
913	27098	2549
914	27127	2520
915	27156	2490
916	27186	2460
917	27215	2431
918	27246	2401
919	27276	2371
920	27302	2341
921	27328	2311
922	27354	2281
923	27380	2252
924	27407	2222
925	27435	2192
926	27462	2162
927	27491	2132
928	27518	2103
929	27547	2073
930	27577	2043
931	27609	2014
932	27644	1985
933	27675	1955
934	27702	1925
935	27728	1895
936	27757	1866
